,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,country_name,iso_country,region_name,iso_region,local_region,municipality,gps_code,iata_code,local_code,keywords
189,31645,HTSD,small_airport,Singida Airport,-4.810928,34.724762,5000.0,Tanzania,TZ,Singida Region,TZ-23,23,Singida,HTSD,,,
190,318614,TZ-0053,small_airport,Sire Airport,-5.713026,31.83135,,Tanzania,TZ,Rukwa Region,TZ-20,20,Sire,,,,
191,318582,TZ-0025,small_airport,Sitalike Airport,-6.631518,31.135481,,Tanzania,TZ,Rukwa Region,TZ-20,20,Sitalike,,,,
192,318615,TZ-0054,small_airport,Siwandu Airport,-7.6847,38.136731,195.0,Tanzania,TZ,Pwani Region,TZ-19,19,Siwandu,HTZW,,,
193,308201,HTAG,small_airport,Amani Beach Airport,-6.957292,39.505588,114.0,Tanzania,TZ,Dar-es-Salaam Region,TZ-02,2,Somangira,HTAG,,,Amani Gomvu
194,32293,HTSO,small_airport,Songea Airport,-10.683,35.583,3445.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Songea,HTSO,SGX,,
195,318678,TZ-0116,small_airport,Songo Songo Airstrip,-8.528092,39.506976,24.0,Tanzania,TZ,Lindi Region,TZ-12,12,Songo Songo Island,HTSS,,,
196,32392,HTSU,small_airport,Sumbawanga Airport,-7.948889,31.610278,5960.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Sumbawanga,HTSU,SUT,,
197,318632,TZ-0071,small_airport,Kapenta Airport,-8.357716,32.103045,2810.0,Tanzania,TZ,Rukwa Region,TZ-20,20,Sumbawanga,,,,
198,318579,TZ-0022,small_airport,Tarangire 2 Airport,-3.761121,36.027171,,Tanzania,TZ,Arusha Region,TZ-01,1,Tarangire,,,,
199,318679,TZ-0117,small_airport,Tarime Airport,-1.293878,34.420428,4830.0,Tanzania,TZ,Mara Region,TZ-13,13,Tarime,,,,
200,31648,HTTU,small_airport,Tunduru Airport,-11.100000381469728,37.367000579833984,2200.0,Tanzania,TZ,Ruvuma Region,TZ-21,21,Tunduru,HTTU,,,
201,42496,TZ-0004,small_airport,Tura Airport,-5.4892401695251465,33.87820053100586,4216.0,Tanzania,TZ,Tabora Region,TZ-24,24,Tura,,,,
202,31649,HTUR,small_airport,Urambo Airport,-5.075635,32.079868,3600.0,Tanzania,TZ,Tabora Region,TZ-24,24,Urambo,HTUR,,,
203,42489,HTUT,small_airport,Utete Airport,-7.999667,38.760234,208.0,Tanzania,TZ,Pwani Region,TZ-19,19,Utete,HTUT,,,
204,42490,HTUV,small_airport,Uvinza Airport,-5.090771,30.406772,563.0,Tanzania,TZ,Xigoma Region,TZ-08,8,Uvinza,HTUV,,,
205,318563,TZ-0007,small_airport,Tulawaka Gold Mine Airstrip,-3.210604,31.546516,3944.0,Tanzania,TZ,Kagera Region,TZ-05,5,Uyovu,,,,
206,31650,HTWK,small_airport,West Kilimanjaro Airport,-3.05,37.0,4300.0,Tanzania,TZ,Kilimanjaro Region,TZ-09,9,West Kilimanjaro,HTWK,,,
207,318576,TZ-0019,closed,Limai Airport,-2.269407,34.023569,,Tanzania,TZ,Shinyanga Region,TZ-22,22,,,,,
208,318597,TZ-0038,closed,Manane Airport,-8.206858,36.959834,,Tanzania,TZ,Morogoro Region,TZ-16,16,Manane,,,,
209,318599,TZ-0040,closed,Matambwe Old Airport,-7.535478,37.776384,,Tanzania,TZ,Morogoro Region,TZ-16,16,Matambwe,,,,
210,340237,TZ-0143,closed,Rushungi Airport,-9.43453,39.60582,,Tanzania,TZ,Lindi Region,TZ-12,12,Rushungi,,,,
