,id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,gps_code,iata_code,keywords
88,318581,TZ-0024,small_airport,Ndutu Airport,-3.030715,34.988468,5353.0,TZ-01,Ndutu,HTND,,
89,318582,TZ-0025,small_airport,Sitalike Airport,-6.631518,31.135481,,TZ-20,Sitalike,,,
90,318583,TZ-0026,small_airport,Fort Ikoma Airport,-2.080103,34.62952,4412.0,TZ-13,Fort Ikoma,HTFI,,
91,318584,TZ-0027,small_airport,Kuro Airport,-4.007918,36.076105,,TZ-26,Kuro,,,
92,318585,TZ-0028,small_airport,Msembe Airport,-7.684811,34.922282,2500.0,TZ-04,Msembe,HTMR,,
93,318588,TZ-0029,small_airport,Magangwe Airport,-7.719942,34.226726,,TZ-14,Magangwe,,,
94,318589,TZ-0030,small_airport,Beho Beho Airstrip,-7.666746,37.927229,393.0,TZ-19,Beho Beho,HTBO,,
95,318590,TZ-0031,small_airport,Boma Ulanga Airstrip,-8.188467,36.91211,,TZ-16,Boma Ulanga,,,
96,318591,TZ-0032,small_airport,Buturi Airport,-3.199844,34.436504,4730.0,TZ-22,Buturi,,,
97,318592,TZ-0033,small_airport,Fish Eagle Airport,-4.805057,31.276613,3300.0,TZ-08,Ibolero,HTFE,,
98,318593,TZ-0034,small_airport,Isanga Airport,-7.527162,33.884071,,TZ-23,Isanga,,,
99,318594,TZ-0035,small_airport,Kifura Airstrip,-3.838092,30.640202,4389.0,TZ-08,Kifura,,,
100,318595,TZ-0036,small_airport,Kihurumila Airport,-9.0411,38.273756,,TZ-12,Kihurumila,,,
101,318596,TZ-0037,small_airport,Luhanyando Airoprt,-9.447883,36.848932,,TZ-16,Luhanyando,,,
102,318597,TZ-0038,closed,Manane Airport,-8.206858,36.959834,,TZ-16,Manane,,,
103,318598,TZ-0039,small_airport,Matambwe Airport,-7.528887,37.76201,585.0,TZ-16,Matambwe,HTME,,
104,318599,TZ-0040,closed,Matambwe Old Airport,-7.535478,37.776384,,TZ-16,Matambwe,,,
105,318600,TZ-0041,small_airport,Mbunga Airport,-8.978724,36.869154,,TZ-16,Mbunga,,,
106,318603,TZ-0042,small_airport,Mkangira Airport,-8.958151,37.338793,,TZ-16,Mkangira,,,
107,318604,TZ-0043,small_airport,Mkomazi-Kisima Airport,-4.079592,38.086684,,TZ-09,Mkomazi,,,
108,318605,TZ-0044,small_airport,Mkuyu Airport,-9.966951,36.878941,,TZ-12,Mkuyu,,,
109,318606,TZ-0045,small_airport,Mlembwe Airport,-9.426932,37.519672,,TZ-12,Mlembwe,,,
110,318607,TZ-0046,small_airport,Mpunde Airport,-6.259359,33.619996,,TZ-24,Mpunde,,,
111,318608,TZ-0047,small_airport,Mtemaupinde Airport,-11.206844,38.162974,,TZ-17,Mtemaupinde,,,
112,318609,TZ-0048,small_airport,Mtemere Airport,-7.750093,38.208474,216.0,TZ-19,Mtemere,,,
113,318610,TZ-0049,small_airport,Muhuba Airport,-5.770289,31.721521,,TZ-20,Muhuba,,,
114,318611,TZ-0050,small_airport,Mwambesi Airport,-11.61227,37.564572,1000.0,TZ-21,Mwambesi,,,Mwambezi
